@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute wek-1 {0,1,2,3}

@data
1950,'2023/03/14 23:20:54:872',12,10.217651,-0.35354,-0.562912,1
1951,'2023/03/14 23:20:54:894',12,10.422238,-0.30329,-0.77348,1
1952,'2023/03/14 23:20:54:911',12,10.538589,-0.29013,-0.893121,1
1953,'2023/03/14 23:20:54:930',12,10.592427,-0.302094,-0.887139,1
1954,'2023/03/14 23:20:54:950',12,10.654641,-0.310469,-0.609572,1
1955,'2023/03/14 23:20:54:968',12,10.630713,-0.315254,-0.421735,1
1956,'2023/03/14 23:20:54:987',12,10.497911,-0.351147,-0.554537,1
1957,'2023/03/14 23:20:55:007',12,10.385149,-0.323629,-0.802194,1
1958,'2023/03/14 23:20:55:027',12,10.283454,-0.291326,-0.860818,1
1959,'2023/03/14 23:20:55:045',12,10.057333,-0.284148,-0.732802,1
1960,'2023/03/14 23:20:55:063',12,9.79143,-0.261416,-0.576072,1
1961,'2023/03/14 23:20:55:084',12,9.674182,-0.207577,-0.482752,1
1962,'2023/03/14 23:20:55:103',12,9.754341,-0.151346,-0.44327,1
1963,'2023/03/14 23:20:55:122',12,9.873982,-0.077169,-0.44327,1
1964,'2023/03/14 23:20:55:140',12,9.857233,-0.007478,-0.487538,1
1965,'2023/03/14 23:20:55:160',12,9.694521,0.009272,-0.464806,1
1966,'2023/03/14 23:20:55:180',12,9.613165,-0.011067,-0.437288,1
1967,'2023/03/14 23:20:55:198',12,9.702896,-0.067597,-0.352044,1
1968,'2023/03/14 23:20:55:218',12,9.893126,-0.108275,-0.322134,1
1969,'2023/03/14 23:20:55:236',12,10.036994,-0.111864,-0.505484,1
1970,'2023/03/14 23:20:55:257',12,10.016655,-0.136989,-0.678963,1
1971,'2023/03/14 23:20:55:275',12,9.997512,-0.16331,-0.677767,1
1972,'2023/03/14 23:20:55:293',12,10.082458,-0.188435,-0.49352,1
1973,'2023/03/14 23:20:55:314',12,10.23799,-0.19681,-0.347258,1
1974,'2023/03/14 23:20:55:334',12,10.240383,-0.168096,-0.431306,1
1975,'2023/03/14 23:20:55:352',12,10.078868,-0.152542,-0.541376,1
1976,'2023/03/14 23:20:55:372',12,9.975977,-0.152542,-0.558126,1
1977,'2023/03/14 23:20:55:390',12,9.981958,-0.1334,-0.579661,1
1978,'2023/03/14 23:20:55:409',12,10.042975,-0.16331,-0.527019,1
1979,'2023/03/14 23:20:55:429',12,10.064511,-0.166899,-0.531805,1
1980,'2023/03/14 23:20:55:446',12,9.972387,-0.162114,-0.564108,1
1981,'2023/03/14 23:20:55:466',12,9.984351,-0.147757,-0.44686,1
1982,'2023/03/14 23:20:55:486',12,10.002297,-0.126221,-0.374776,1
1983,'2023/03/14 23:20:55:507',12,9.949656,-0.166899,-0.368794,1
1984,'2023/03/14 23:20:55:523',12,9.993923,-0.175274,-0.462413,1
1985,'2023/03/14 23:20:55:543',12,10.001101,-0.140578,-0.571286,1
1986,'2023/03/14 23:20:55:563',12,10.035797,-0.11665,-0.558126,1
1987,'2023/03/14 23:20:55:581',12,10.064511,-0.110668,-0.485145,1
