@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute wek-1 numeric
@attribute wek-2 numeric
@attribute wek-3 numeric
@attribute wek-4 numeric
@attribute wek-5 numeric
@attribute wek-6 numeric
@attribute wek-7 numeric
@attribute wek-8 numeric

@data
1,'2023/03/14 20:43:17:852',1,0.699901,0.106182,10.014262,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
2,'2023/03/14 20:43:17:952',1,0.702293,0.158824,9.990334,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
3,'2023/03/14 20:43:17:954',1,0.704686,0.146859,9.930513,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
4,'2023/03/14 20:43:17:955',1,0.719043,0.097807,9.930513,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
5,'2023/03/14 20:43:17:955',1,0.726222,0.067896,9.930513,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
6,'2023/03/14 20:43:17:955',1,0.695115,0.0667,9.895817,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
7,'2023/03/14 20:43:17:963',1,0.695115,0.081057,9.907782,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
8,'2023/03/14 20:43:17:980',1,0.704686,0.107378,9.946067,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
9,'2023/03/14 20:43:17:998',1,0.708275,0.116949,9.934102,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
10,'2023/03/14 20:43:18:018',1,0.696311,0.108574,9.937692,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
11,'2023/03/14 20:43:18:037',1,0.695115,0.100199,9.954441,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
12,'2023/03/14 20:43:18:055',1,0.714258,0.090628,9.94846,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
13,'2023/03/14 20:43:18:076',1,0.719043,0.076271,9.935299,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
14,'2023/03/14 20:43:18:096',1,0.710668,0.099003,9.908978,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
15,'2023/03/14 20:43:18:115',1,0.699901,0.110967,9.925728,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
16,'2023/03/14 20:43:18:134',1,0.701097,0.110967,9.959227,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
17,'2023/03/14 20:43:18:152',1,0.698704,0.09661,9.962816,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
18,'2023/03/14 20:43:18:171',1,0.691526,0.071486,9.943673,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
19,'2023/03/14 20:43:18:189',1,0.702293,0.089432,9.912567,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
20,'2023/03/14 20:43:18:210',1,0.707079,0.11336,9.91137,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
21,'2023/03/14 20:43:18:228',1,0.704686,0.109771,9.932906,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
22,'2023/03/14 20:43:18:247',1,0.709472,0.091825,9.965209,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
23,'2023/03/14 20:43:18:267',1,0.705883,0.093021,9.980762,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
24,'2023/03/14 20:43:18:287',1,0.707079,0.093021,9.943673,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
25,'2023/03/14 20:43:18:306',1,0.709472,0.103789,9.920941,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
26,'2023/03/14 20:43:18:324',1,0.699901,0.101396,9.906585,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
27,'2023/03/14 20:43:18:343',1,0.691526,0.087039,9.918549,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
28,'2023/03/14 20:43:18:365',1,0.697508,0.087039,9.950852,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
29,'2023/03/14 20:43:18:383',1,0.709472,0.093021,9.955638,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
30,'2023/03/14 20:43:18:401',1,0.722632,0.115753,9.942477,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
31,'2023/03/14 20:43:18:420',1,0.710668,0.116949,9.937692,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
32,'2023/03/14 20:43:18:439',1,0.699901,0.103789,9.94487,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
33,'2023/03/14 20:43:18:459',1,0.699901,0.084646,9.946067,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
34,'2023/03/14 20:43:18:478',1,0.695115,0.090628,9.938888,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
35,'2023/03/14 20:43:18:497',1,0.695115,0.090628,9.938888,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
36,'2023/03/14 20:43:18:516',1,0.697508,0.102592,9.920941,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
37,'2023/03/14 20:43:18:535',1,0.711865,0.11336,9.928121,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
38,'2023/03/14 20:43:18:554',1,0.71665,0.101396,9.943673,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
39,'2023/03/14 20:43:18:576',1,0.709472,0.09661,9.942477,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
40,'2023/03/14 20:43:18:596',1,0.696311,0.093021,9.937692,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
41,'2023/03/14 20:43:18:615',1,0.699901,0.087039,9.920941,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
42,'2023/03/14 20:43:18:632',1,0.697508,0.097807,9.919745,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
43,'2023/03/14 20:43:18:650',1,0.691526,0.097807,9.940084,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
44,'2023/03/14 20:43:18:670',1,0.704686,0.107378,9.955638,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
45,'2023/03/14 20:43:18:689',1,0.70349,0.099003,9.94487,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
46,'2023/03/14 20:43:18:708',1,0.709472,0.102592,9.94846,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
47,'2023/03/14 20:43:18:726',1,0.702293,0.100199,9.926924,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
48,'2023/03/14 20:43:18:746',1,0.697508,0.091825,9.920941,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
49,'2023/03/14 20:43:18:765',1,0.698704,0.089432,9.920941,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
50,'2023/03/14 20:43:18:785',1,0.695115,0.091825,9.919745,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
51,'2023/03/14 20:43:18:804',1,0.704686,0.089432,9.923335,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
52,'2023/03/14 20:43:18:824',1,0.710668,0.100199,9.924531,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
53,'2023/03/14 20:43:18:844',1,0.713061,0.102592,9.955638,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
