time,grx,gry,grz,lax,lay,laz
1,0.342521,0.505476,10.0922,-0.0453232,0.0598785,-0.0663315
2,0.342521,0.505476,10.0922,-0.0453232,0.0867119,-0.0663315
3,0.342521,0.505476,10.0922,-0.0453232,0.0867119,0.0923225
4,0.373645,0.505476,10.0922,-0.0453232,0.0867119,0.0923225
5,0.373645,0.407164,10.0922,-0.0453232,0.0867119,0.0923225
6,0.373645,0.407164,9.95075,-0.0453232,0.0867119,0.0923225
7,0.373645,0.407164,9.95075,-0.000405884,0.0867119,0.0923225
8,0.373645,0.407164,9.95075,-0.000405884,0.0653877,0.0923225
9,0.373645,0.407164,9.95075,-0.000405884,0.0653877,0.222859
10,0.431255,0.407164,9.95075,-0.000405884,0.0653877,0.222859
11,0.431255,0.337732,9.95075,-0.000405884,0.0653877,0.222859
12,0.431255,0.337732,9.764,-0.000405884,0.0653877,0.222859
13,0.431255,0.337732,9.764,0.0283875,0.0653877,0.222859
14,0.431255,0.337732,9.764,0.0283875,-0.0230293,0.222859
15,0.431255,0.337732,9.764,0.0283875,-0.0230293,0.0784714
16,0.431255,0.337732,9.764,0.0283875,-0.0230293,0.0784714
17,0.431255,0.337732,9.764,0.0283875,-0.0230293,0.0784714
18,0.431255,0.337732,9.764,0.0283875,-0.0230293,0.0784714
19,0.431255,0.337732,9.764,0.0766586,-0.0230293,0.0784714
20,0.431255,0.337732,9.764,0.0766586,-0.0760666,0.0784714
21,0.431255,0.337732,9.764,0.0766586,-0.0760666,-0.105111
22,0.46238,0.337732,9.764,0.0766586,-0.0760666,-0.105111
23,0.46238,0.265907,9.764,0.0766586,-0.0760666,-0.105111
24,0.46238,0.265907,9.8047,0.0766586,-0.0760666,-0.105111
25,0.46238,0.265907,9.8047,0.0948944,-0.0760666,-0.105111
26,0.46238,0.265907,9.8047,0.0948944,-0.12037,-0.105111
27,0.46238,0.265907,9.8047,0.0948944,-0.12037,-0.0628242
28,0.445621,0.265907,9.8047,0.0948944,-0.12037,-0.0628242
29,0.445621,0.282665,9.8047,0.0948944,-0.12037,-0.0628242
30,0.445621,0.282665,9.92681,0.0948944,-0.12037,-0.0628242
31,0.445621,0.282665,9.92681,0.0624992,-0.12037,-0.0628242
32,0.445621,0.282665,9.92681,0.0624992,-0.0746216,-0.0628242
33,0.445621,0.282665,9.92681,0.0624992,-0.0746216,0.0568962
34,0.380828,0.282665,9.92681,0.0624992,-0.0746216,0.0568962
35,0.380828,0.33055,9.92681,0.0624992,-0.0746216,0.0568962
36,0.380828,0.33055,9.97963,0.0624992,-0.0746216,0.0568962
37,0.380828,0.33055,9.97963,-0.0148682,-0.0746216,0.0568962
38,0.380828,0.33055,9.97963,-0.0148682,-0.00383148,0.0568962
39,0.380828,0.33055,9.97963,-0.0148682,-0.00383148,0.105678
40,0.378433,0.33055,9.97963,-0.0148682,-0.00383148,0.105678
41,0.378433,0.383221,9.97963,-0.0148682,-0.00383148,0.105678
42,0.378433,0.383221,9.96766,-0.0148682,-0.00383148,0.105678
43,0.378433,0.383221,9.96766,-0.0243866,-0.00383148,0.105678
44,0.378433,0.383221,9.96766,-0.0243866,0.063343,0.105678
45,0.378433,0.383221,9.96766,-0.0243866,0.063343,0.0903564
