time,grx,gry,grz,lax,lay,laz
1,7.64073,3.82458,4.57721,-0.0305464,0.0262103,0.0147543
2,7.64073,3.83151,4.57721,-0.0305464,0.0262103,0.0147543
3,7.64073,3.83151,4.80719,-0.0305464,0.0262103,0.0147543
4,7.64073,3.83151,4.80719,-0.0305464,0.0262103,0.0147543
5,7.64073,3.83151,4.80719,-0.0305464,0.0262103,0.0147543
6,7.64073,3.83151,4.80719,-0.0305464,0.0262103,0.0147543
7,4.38192,3.83151,4.80719,-0.0305464,0.0262103,0.0147543
8,4.38192,6.18966,4.80719,-0.0305464,0.0262103,0.0147543
9,4.38192,6.18966,6.2175,-0.0305464,0.0262103,0.0147543
10,4.38192,6.18966,6.2175,-0.0305464,0.0262103,0.0147543
11,4.38192,6.18966,6.2175,-0.0305464,0.0262103,0.0147543
12,4.38192,6.18966,6.2175,-0.0305464,0.0262103,0.0147543
13,3.2562,6.18966,6.2175,-0.0305464,0.0262103,0.0147543
14,3.2562,6.37187,6.2175,-0.0305464,0.0262103,0.0147543
15,3.2562,6.37187,6.70573,-0.0305464,0.0262103,0.0147543
16,3.2562,6.37187,6.70573,-0.0305464,0.0262103,0.0147543
17,3.2562,6.37187,6.70573,-0.0305464,0.0262103,0.0147543
18,3.2562,6.37187,6.70573,-0.0305464,0.0262103,0.0147543
19,2.94438,6.37187,6.70573,-0.0305464,0.0262103,0.0147543
20,2.94438,5.6315,6.70573,-0.0305464,0.0262103,0.0147543
21,2.94438,5.6315,7.46909,-0.0305464,0.0262103,0.0147543
22,2.94438,5.6315,7.46909,-0.0305464,0.0262103,0.0147543
23,2.94438,5.6315,7.46909,-0.0305464,0.0262103,0.0147543
24,2.94438,5.6315,7.46909,-0.0305464,0.0262103,0.0147543
25,0.706129,5.6315,7.46909,-0.0305464,0.0262103,0.0147543
26,0.706129,5.03098,7.46909,-0.0305464,0.0262103,0.0147543
27,0.706129,5.03098,8.38815,-0.0305464,0.0262103,0.0147543
28,0.706129,5.03098,8.38815,-0.0305464,0.0262103,0.0147543
29,0.706129,5.03098,8.38815,-0.0305464,0.0262103,0.0147543
30,0.706129,5.03098,8.38815,-0.0305464,0.0262103,0.0147543
31,-1.96953,5.03098,8.38815,-0.0305464,0.0262103,0.0147543
32,-1.96953,5.56304,8.38815,-0.0305464,0.0262103,0.0147543
33,-1.96953,5.56304,7.83224,-0.0305464,0.0262103,0.0147543
34,-1.96953,5.56304,7.83224,-0.0305464,0.0262103,0.0147543
35,-1.96953,5.56304,7.83224,-0.0305464,0.0262103,0.0147543
36,-1.96953,5.56304,7.83224,-0.0305464,0.0262103,0.0147543
37,-1.675,5.56304,7.83224,-0.0305464,0.0262103,0.0147543
38,-1.675,6.88551,7.83224,-0.0305464,0.0262103,0.0147543
39,-1.675,6.88551,6.77898,-0.0305464,0.0262103,0.0147543
40,-1.675,6.88551,6.77898,-0.0305464,0.0262103,0.0147543
41,-1.675,6.88551,6.77898,-0.0305464,0.0262103,0.0147543
42,-1.675,6.88551,6.77898,-0.0305464,0.0262103,0.0147543
43,0.0105648,6.88551,6.77898,-0.0305464,0.0262103,0.0147543
44,0.0105648,6.57087,6.77898,-0.0305464,0.0262103,0.0147543
45,0.0105648,6.57087,7.2797,-0.0305464,0.0262103,0.0147543
46,0.0105648,6.57087,7.2797,-0.0305464,0.0262103,0.0147543
47,0.0105648,6.57087,7.2797,-0.0305464,0.0262103,0.0147543
48,0.0105648,6.57087,7.2797,-0.0305464,0.0262103,0.0147543
49,1.48873,6.57087,7.2797,-0.0305464,0.0262103,0.0147543
50,1.48873,6.16666,7.2797,-0.0305464,0.0262103,0.0147543
51,1.48873,6.16666,7.4784,-0.0305464,0.0262103,0.0147543
52,1.48873,6.16666,7.4784,-0.0305464,0.0262103,0.0147543
53,1.48873,6.16666,7.4784,-0.0305464,0.0262103,0.0147543
54,1.48873,6.16666,7.4784,-0.0305464,0.0262103,0.0147543
55,1.77113,6.16666,7.4784,-0.0305464,0.0262103,0.0147543
56,1.77113,5.56638,7.4784,-0.0305464,0.0262103,0.0147543
57,1.77113,5.56638,7.87711,-0.0305464,0.0262103,0.0147543
